"strains.ID_strains","strains.Culture collection no.","strains.Species","strains.Strain Designation","strains_tax_PNU.Species","strains_tax_PNU.Full Scientific Name (LPSN)","strains_tax_PNU.ID_reference","strains_taxid.tax_id","strains_taxid.tax_level","culture_temp.Temperature","culture_temp.ID_reference","culture_pH.pH","culture_pH.ID_reference","met_antibiogram_v2.Incubation temperature [°C]","met_antibiogram_v2.Oxygen condition","met_antibiogram_v2.ID_reference","oxygen_tolerance.Oxygen tolerance","oxygen_tolerance.ID_reference","nutrition_type.Nutrition type","nutrition_type.ID_reference","sequence_genomes.INSDC accession","sequence_genomes.BV-BRC accession","sequence_genomes.IMG accession","sequence_genomes.ID_reference","GC_content.GC-content","GC_content.ID_reference","Zc"
140750,"KCTC 22549, CMPUJ U369, USBA 369","Consotaella salsifontis","","Consotaella salsifontis","Consotaella salsifontis Díaz-Cárdenas et al. 2017",20215,1365950,"species",30,43528,7,43528,NA,NA,NA,"facultative aerobe",43528,"chemoheterotroph",43528,"GCA_900167365",NA,2657245368,124043,64.3,43528,-0.142172
3195,"DSM 44549, JCM 11189, FERM 9246, AJ 12310, CCM 7123, CCUG 47130, CCUG 48037, CIP 107632, NBRC 100395","Corynebacterium efficiens","AJ-12310, YS-314","Corynebacterium efficiens","Corynebacterium efficiens Fudou et al. 2002",20215,152794,"species",37,20072,NA,23185,NA,NA,NA,"aerobe",23185,"chemoorganotroph",23185,"GCA_000011305",196164.6,644736345,66792,58.8,11854,-0.132901
140814,"KCTC 42980, NBRC 111834, DSM 108273, KCTC 42981","Cribrihabitans pelagius","KMU-32","Cribrihabitans pelagius","Cribrihabitans pelagius Yoon et al. 2016",20215,1765746,"species",31,43601,7.5,43601,NA,NA,NA,"obligate aerobe",43601,"chemoheterotroph",43601,"GCA_048820915",NA,NA,124043,63.7,43601,-0.133256
140669,"CCTCC AA 2016026, DSM 103787","Cumulibacter manganitolerans","2-36","Cumulibacter manganitolerans","Cumulibacter manganitolerans Huang et al. 2017",20215,1884992,"species",26,43433,7,43433,NA,NA,NA,"obligate aerobe",43433,"chemoheterotroph",43433,"GCA_009602465",1884992.3,2887435738,66792,70.1,64868,-0.120469
141129,"JCM 30642, VKM B-2941","Cuniculiplasma divulgatum","S5","Cuniculiplasma divulgatum","Cuniculiplasma divulgatum Golyshina et al. 2016",20215,1673428,"species",29,44041,2.25,44041,NA,NA,NA,"facultative anaerobe",44041,"organoheterotroph",44041,"GCA_900083515",1673428.4,2773858060,66792,37.3,67770,-0.193828
3841,"DSM 14783, JCM 11476, NBRC 101012","Deferribacter desulfuricans","SSM1","Deferribacter desulfuricans","Deferribacter desulfuricans Takai et al. 2003",20215,197162,"species",62,5537,6.25,23104,NA,NA,NA,"anaerobe",5537,"heterotroph",23104,"GCA_000010985",639282.3,646564525,66792,38.6,5537,-0.233405
132415,"DSM 29363, JCM 30394","Deferrisoma palaeochoriense","MAG-PB1","Deferrisoma palaeochoriense","Deferrisoma palaeochoriense Pérez-Rodríguez et al. 2016",20215,1573172,"species",50,44025,6.75,44025,NA,NA,NA,"obligate anaerobe",44025,"mixotroph",44025,"",NA,NA,NA,66.7,24204,NA
140462,"HAMBI 3672, JCM 19277, VKM B-3058","Dehalogenimonas formicexedens","NSZ-14","Dehalogenimonas formicexedens","Dehalogenimonas formicexedens Key et al. 2017",20215,1839801,"species",32,43177,6.5,43177,NA,NA,NA,"anaerobe",43177,"chemotroph",43177,"GCA_001953175",NA,2773857847,66792,54.1,43177,-0.173974
3901,"DSM 21458, HAMBI 2721","Deinobacterium chartae","K-bf-PMWA-4.1, K4.1","Deinobacterium chartae","Deinobacterium chartae Ekman et al. 2011",20215,521158,"species",37,15718,8.15,23351,NA,NA,NA,"aerobe",23351,"chemoorganotroph",23351,"GCA_014202645",521158.3,2861587418,66792,66.8,15718,-0.142774
3987,"DSM 12345","Desulfofrigus fragile","LSv21","Desulfofrigus fragile","Desulfofrigus fragile Knoblauch et al. 1999",20215,84983,"species",8,4706,7.2,23372,NA,NA,NA,"anaerobe",4706,"chemoorganotroph",23372,"",NA,NA,NA,52.1,4706,NA
3988,"DSM 12341","Desulfofrigus oceanense","ASv26","Desulfofrigus oceanense","Desulfofrigus oceanense Knoblauch et al. 1999",20215,84982,"species",8,4702,7.25,23372,NA,NA,NA,"anaerobe",4702,"chemoorganotroph",23372,"",NA,NA,NA,52.8,4702,NA
4034,"DSM 9292","Desulfonatronovibrio hydrogenovorans","Z-7935","Desulfonatronovibrio hydrogenovorans","Desulfonatronovibrio hydrogenovorans Zhilina et al. 1997",20215,53245,"species",30,3532,10.2,23206,NA,NA,NA,"anaerobe",3532,"lithoheterotroph",23206,"GCA_000686525",1121413.3,2563366506,66792,48.6,23206,-0.170504
4065,"DSM 16749, VKM B-2329","Desulfonatronum cooperativum","Z-7999","Desulfonatronum cooperativum","Desulfonatronum cooperativum Zhilina et al. 2005",20215,292807,"species",35,6492,8.5,23210,NA,NA,NA,"anaerobe",6492,"lithotroph",23210,"",NA,NA,NA,56.5,6492,NA
4064,"DSM 14708, ATCC BAA-395, MLF 1, CIP 107913","Desulfonatronum thiodismutans","","Desulfonatronum thiodismutans","Desulfonatronum thiodismutans Pikuta et al. 2003",20215,159290,"species",35,5494,9,23209,NA,NA,NA,"anaerobe",5494,"lithoheterotroph",23209,"GCA_000717475",159290.4,2609460260,124043,63,5494,-0.156892
132676,"DSM 24088, JCM 31386","Desulforamulus aquiferis","Bs105","Desulforamulus aquiferis","Desulforamulus aquiferis (Berlendis et al. 2016) Watanabe et al. 2021",20215,1397668,"species",37.5,25005,7.1,25005,NA,NA,NA,"anaerobe",25005,"chemolithoautotroph",25005,"GCA_004143605",1397668.3,NA,67770,42.9,24465,-0.199393
132677,"DSM 24093, JCM 31387","Desulforamulus profundi","Bs107","Desulforamulus profundi","Desulforamulus profundi (Berlendis et al. 2016) Watanabe et al. 2021",20215,1383067,"species",60,25005,7.05,25005,NA,NA,NA,"anaerobe",25005,"chemolithoautotroph",25005,"GCA_002607855",1383067.4,2802429666,67770,48.7,24466,-0.183909
4167,"DSM 19430, JCM 14597, KCTC 5573","Desulfovibrio psychrotolerans","JS, JS1","Desulfovibrio psychrotolerans","Desulfovibrio psychrotolerans Sasi Jyothsna et al. 2008",20215,415242,"species",30,23215,8.75,23215,NA,NA,NA,"anaerobe",8011,"chemoorganoheterotroph",23215,"GCA_013340305",415242.3,2995994360,66792,49.3,8011,-0.142232
140298,"DSM 101677, MCCC 1A01868","Desulfurobacterium indicum","K6013","Desulfurobacterium indicum","Desulfurobacterium indicum Cao et al. 2017",20215,1914305,"species",65,43270,6.5,43270,NA,NA,NA,"anaerobe",43270,"chemolithoautotroph",43270,"GCA_001968985",NA,2832468384,66792,38.2,43270,-0.233834
4199,"DSM 16532, JCM 13383, VKM V-2316","Desulfurococcus amylolyticus","Z-1312","Desulfurococcus amylolyticus","Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001",20215,94694,"species",80,6471,5.8,23225,NA,NA,NA,"anaerobe",6471,"chemoorganoheterotroph",23225,"GCA_000231015",768672.7,2513020047,66792,42.5,6471,NA
4200,"DSM 18924, JCM 16383, VKM B-2413","Desulfurococcus amylolyticus","1221n","Desulfurococcus amylolyticus","Desulfurococcus amylolyticus Bonch-Osmolovskaya et al. 2001",20215,94694,"species",82,7778,6.5,23226,NA,NA,NA,"anaerobe",7778,"chemoorganoheterotroph",23226,"GCA_000020905",490899.14,643348540,66792,44.4,7778,-0.221149
4238,"DSM 16958, JCM 12927","Desulfuromonas svalbardensis","112","Desulfuromonas svalbardensis","Desulfuromonas svalbardensis Vandieken et al. 2006",20215,304413,"species",15,6669,7,23229,NA,NA,NA,"anaerobe",6669,"chemoorganotroph",23229,"",NA,NA,NA,52.3,6669,NA
4210,"DSM 16956, JCM 12926","Desulfuromusa ferrireducens","102","Desulfuromusa ferrireducens","Desulfuromusa ferrireducens Vandieken et al. 2006",20215,304417,"species",15,6667,7.2,23229,NA,NA,NA,"anaerobe",6667,"chemoorganotroph",23229,"",NA,NA,NA,52.3,6667,NA
132452,"DSM 100305, JCM 30857","Dethiosulfatarculus sandiegensis","SPR","Dethiosulfatarculus sandiegensis","Dethiosulfatarculus sandiegensis Davidova et al. 2016",20215,1429043,"species",30,43713,6.9,43713,NA,NA,NA,"obligate anaerobe",43713,"chemoorganotroph",43713,"GCA_000931935",1429043.4,2627853875,67770,52.02,43713,-0.179878
140692,"NBRC 109595, InaCC B312","Dictyobacter aurantiacus","S-27","Dictyobacter aurantiacus","Dictyobacter aurantiacus Yabe et al. 2017",20215,1936993,"species",28.5,43461,6.05,43461,NA,NA,NA,"aerobe",43461,"heterotroph",43461,"GCA_003967515",1936993.3,2840502759,66792,55.7,43461,-0.145872
140917,"JCM 19990, VKM B-2854","Dissulfurimicrobium hydrothermale","Sh68","Dissulfurimicrobium hydrothermale","Dissulfurimicrobium hydrothermale Slobodkin et al. 2016",20215,1750598,"species",47.5,43784,6.35,43784,NA,NA,NA,"anaerobe",43784,"chemoautolithotroph",43784,"GCA_022026155",1750598.3,8046654717,66792,49,43784,-0.183582
132569,"DSM 100025, VKM B-2960","Dissulfurirhabdus thermomarina","SH388","Dissulfurirhabdus thermomarina","Dissulfurirhabdus thermomarina Slobodkina et al. 2016",20215,1765737,"species",41.5,43947,6,43947,NA,NA,NA,"anaerobe",43947,"lithoautotroph",43947,"GCA_010499435",1765737.4,8062204097,66792,64.6,24358,-0.137711
164191,"JCM 32096, BCRC 81069","Dongshaea marina","DM2","Dongshaea marina","Dongshaea marina Huang et al. 2019",20215,2047966,"species",30,67770,7,67775,NA,NA,NA,"facultative anaerobe",67775,"chemoheterotroph",67775,"GCA_003072645",2047966.4,2786546686,66792,51,67770,-0.162566
17719,"DSM 19836, KCTC 12368, KMM 6172, LMG 23350","Echinicola pacifica","","Echinicola pacifica","Echinicola pacifica Nedashkovskaya et al. 2006",20215,346377,"species",28,8343,7,31738,NA,NA,NA,"facultative anaerobe",31738,"chemoorganotroph",28014,"GCA_000373245",1121859.3,2515154083,66792,44.5,31738,-0.158805
133368,"MEBiC 08714, KCTC 52052, JCM 31307","Echinicola strongylocentroti","","Echinicola strongylocentroti","Echinicola strongylocentroti Jung et al. 2017",20215,1795355,"species",27.5,25221,8.5,25221,NA,NA,NA,"aerobe",25221,"heterotroph",25221,"GCA_003260975",1795355.3,2887768817,67770,44.2,67770,-0.155879
141132,"CGMCC 1.14997, KCTC 39588, EGI 80759","Egibacter rhizosphaerae","","Egibacter rhizosphaerae","Egibacter rhizosphaerae Zhang et al. 2016",20215,1670831,"species",37.5,44045,9,44045,NA,NA,NA,"aerobe",44045,"chemoorganotroph",44045,"GCA_004322855",1670831.3,2837183177,124043,72.1,44045,-0.09376
141116,"CGMCC 1.14988, KCTC 33612, EGI 80432, JCM 33036","Egicoccus halophilus","","Egicoccus halophilus","Egicoccus halophilus Zhang et al. 2016",20215,1670830,"species",30,44027,8,44027,NA,NA,NA,"aerobe",44027,"chemoorganotroph",44027,"GCA_004300825",1670830.3,2837221967,67770,75.2,67770,-0.109214
140464,"JCM 17961, ATCC BAA-1439","Endothiovibrio diazotrophicus","S-1","Endothiovibrio diazotrophicus","Endothiovibrio diazotrophicus Bazylinski et al. 2017",20215,913829,"species",28,43181,6.6,43181,NA,NA,NA,"microaerophile",43181,"chemolithoautotroph",43181,"",NA,NA,NA,67.6,43181,NA
158621,"KCCM 90264, JCM 31644","Epidermidibacterium keratini","EPI-7","Epidermidibacterium keratini","Epidermidibacterium keratini Lee et al. 2018",20215,1891644,"species",25,65346,6.75,65346,NA,NA,NA,"aerobe",65346,"chemoheterotroph",65346,"GCA_009834025",1891644.4,2883308892,66792,68.9,67770,-0.121012
141117,"KCTC 42507, CGMCC 1.15111","Fabivirga thermotolerans","A4","Roseivirga thermotolerans","Roseivirga thermotolerans (Tang et al. 2016) García-López et al. 2020",20215,1758176,"species",37.5,44028,7.5,44028,NA,NA,NA,"aerobe",44028,"chemoorganotroph",44028,"GCA_014653175",1758176.3,2995222267,66792,40.3,44028,-0.16852
132681,"DSM 22923, JCM 16476","Falcatimonas natans","WN011","Falcatimonas natans","Falcatimonas natans Watanabe et al. 2016",20215,433279,"species",27.5,25038,6.65,25038,NA,NA,NA,"anaerobe",25038,"chemoorganotroph",25038,"",NA,NA,NA,38.8,24470,NA
159721,"JCM 30584, NBRC 112974, ATCC TSD-51","Ferrigenium kumadai","An22","Ferrigenium kumadai","Ferrigenium kumadai Khalifa et al. 2018",20215,1682490,"species",24.5,66622,6,66622,NA,NA,NA,"microaerophile",66622,"lithotroph",66622,"GCA_018324385",1682490.3,2927562029,66792,61.4,66622,-0.152407
17820,"DSM 19380, JCM 18336, VKM B-2539","Fervidicoccus fontis","Kam940","Fervidicoccus fontis","Fervidicoccus fontis Perevalova et al. 2010",20215,683846,"species",80,8082,5.75,29702,NA,NA,NA,"anaerobe",8082,"organotroph",26085,"GCA_000258425",1163730.6,2513237177,66792,37,8082,-0.233663
17033,"DSM 5306, ATCC 35602","Fervidobacterium nodosum","Rt17-B1","Fervidobacterium nodosum","Fervidobacterium nodosum Patel et al. 1985",20215,2424,"species",70,1984,7,43352,NA,NA,NA,"anaerobe",1984,"chemoorganotroph",43352,"GCA_000017545",381764.8,640753026,66792,33.7,1984,-0.227155
133268,"JCM 18757, ATCC BAA-2483, ATCC AA-2483","Fervidobacterium thailandense","FC2004","Fervidobacterium thailandense","Fervidobacterium thailandense Kanoksilapatham et al. 2016",20215,1008305,"species",74,25124,7.25,25124,NA,NA,NA,"obligate anaerobe",25124,"organotroph",25124,"GCA_041505935",NA,NA,124043,45.8,25124,-0.215757
133340,"LMG 29572, VKM B-3045","Fimbriiglobus ruber","SP5","Fimbriiglobus ruber","Fimbriiglobus ruber Kulichevskaya et al. 2017",20215,1908690,"species",20,25181,5.4,25181,NA,NA,NA,"aerobe",25181,"chemoheterotroph",25181,"GCA_002197845",1908690.6,2786546892,66792,60.7,25181,-0.12928
140292,"DSM 100282, LMG 29416","Flaviaesturariibacter luteus","AW305","Flaviaestuariibacter luteus","Flaviaestuariibacter luteus corrig. Pascual et al. 2017",20215,1789691,"species",36.5,43231,6.8,43231,NA,NA,NA,"aerobe",43231,"chemoorganoheterotroph",43231,"",NA,NA,NA,57.6,42899,NA
166438,"KACC 19592, NBRC 113424, IMCC 34759","Flavobacterium cheongpyeongense","","Flavobacterium cheongpyeongense","Flavobacterium cheongpyeongense Joung et al. 2019",20215,2212651,"species",20,67777,7.5,67777,NA,NA,NA,"aerobe",67777,"chemoheterotroph",67777,"GCA_003202435",2212651.3,2938287341,67777,34.1,67777,-0.185778
140676,"KCTC 42062, JCM 30338, CIP 111715","Flavobacterium fluminis","3R17","Flavobacterium fluminis","Flavobacterium fluminis Ahn et al. 2017",20215,1433257,"species",17,43440,7.5,43440,NA,NA,NA,"aerobe",43440,"chemoorganotroph",43440,"",NA,NA,NA,35.4,43440,NA
166439,"KACC 19591, NBRC 113423, IMCC 34758","Flavobacterium hydrophilum","","Flavobacterium hydrophilum","Flavobacterium hydrophilum Joung et al. 2019",20215,2211445,"species",20,67777,7.5,67777,NA,NA,NA,"aerobe",67777,"chemoheterotroph",67777,"GCA_003202405",2211445.3,2876983277,67777,34,67777,-0.182772
140526,"KCTC 52245, JCM 31384, IMCC 26223","Flavobacterium soyangense","","Flavobacterium soyangense","Flavobacterium soyangense Nam et al. 2017",20215,2023265,"species",26,43300,7,43300,NA,NA,NA,"aerobe",43300,"chemoheterotroph",43300,"",NA,NA,NA,34.5,43300,NA
133330,"BCRC 80926, LMG 29292, KCTC 33763","Flectobacillus fontis","MIB-4","Flectobacillus fontis","Flectobacillus fontis Chen et al. 2017",20215,1737445,"species",22.5,25183,7.5,25183,NA,NA,NA,"aerobe",25183,"chemoheterotroph",25183,"",NA,NA,NA,37.6,25183,NA
140919,"JCM 30897, CGMCC 1.5202, TC 1","Flexilinea flocculi","","Flexilinea flocculi","Flexilinea flocculi Sun et al. 2016",20215,1678840,"species",34,43788,7.25,43788,NA,NA,NA,"obligate anaerobe",43788,"chemoorganotroph",43788,"",NA,NA,NA,42.1,67770,NA
133320,"BCRC 80690, LMG 27847, KCTC 32501, DSM 109231","Formosimonas limnophila","AHQ-12","Formosimonas limnophila","Formosimonas limnophila Chen et al. 2017",20215,1384487,"species",23.5,25149,7,25149,NA,NA,NA,"aerobe",25149,"chemolithotroph",25149,"GCA_014652675",1384487.3,2923739291,66792,50.4,64838,-0.156726
131722,"DSM 45986, CECT 9034","Frankia alni","ACN14a, ULQ010201401","Frankia alni","Frankia alni (Woronin 1866) Von Tubeuf 1895 (Approved Lists 1980)",20215,1859,"species",28,23518,6.55,25097,NA,NA,NA,"aerobe",25097,"heterotroph",25097,"GCA_000058485",326424.15,637000115,66792,72.8,25097,-0.108129
141096,"DSM 100626, CECT 9040, NRRL B-16386","Frankia asymbiotica","M16386","Frankia asymbiotica","Frankia asymbiotica Nouioui et al. 2017",20215,1834516,"species",28,64973,6.55,44005,NA,NA,NA,"aerobe",44005,"heterotroph",44005,"GCA_001983105",NA,2773857921,124043,72,44005,-0.111053
131723,"DSM 45818, CECT 9043","Frankia casuarinae","Ccl3, HFP020203, HFPCcl3","Frankia casuarinae","Frankia casuarinae Nouioui et al. 2016",20215,106370,"species",28,25097,6.55,25097,NA,NA,NA,"aerobe",25097,"heterotroph",25097,"",NA,NA,NA,70.1,25097,NA
133112,"CECT 9032, DSM 100624","Frankia coriariae","BMG5.1","Frankia coriariae","Frankia coriariae Nouioui et al. 2017",20215,1562887,"species",27.5,25292,8.25,25292,NA,NA,NA,"aerobe",25292,"chemoorganotroph",25292,"GCA_001017755",NA,2700989114,66792,70.2,64846,-0.111284
131724,"DSM 46783, CECT 9031","Frankia elaeagni","BMG5.12","Frankia elaeagni","Frankia elaeagni Nouioui et al. 2016",20215,222534,"species",28,25097,6.55,25097,NA,NA,NA,"aerobe",25097,"heterotroph",25097,"GCA_000374165",222534.3,2517093007,66792,71.7,25097,-0.10649
158372,"DSM 45899, CECT 9038","Frankia irregularis","G2","Frankia irregularis","Frankia irregularis Nouioui et al. 2018",20215,795642,"species",28,65048,6.55,66647,NA,NA,NA,"aerobe",66647,"chemoorganotroph",66647,"GCA_001536285",1747450.3,2634166352,66792,70.9,66647,-0.108665
166983,"CECT 9407, VKM B-3467","Frigoriglobus tundricola","PL17","Frigoriglobus tundricola","Frigoriglobus tundricola Kulichevskaya et al. 2021",20215,2774151,"species",16,69637,5.5,69637,NA,NA,NA,"obligate aerobe",69637,"chemoorganotroph",69637,"GCA_013128195",2774151.4,2999849193,66792,67.4,69637,-0.135464
141097,"KCTC 52666, NBRC 112695","Frondibacter mangrovi","02OK1/10-76","Frondibacter mangrovi","Frondibacter mangrovi Yoon et al. 2017",20215,1968282,"species",23.5,44006,7.5,44006,NA,NA,NA,"obligate aerobe",44006,"chemoheterotroph",44006,"",NA,NA,NA,35,44006,NA
1452,"DSM 15726, LMG 23069, VKM B-2301","Geobacillus jurassicus","DS1, R-35651","Geobacillus jurassicus","Geobacillus jurassicus Nazina et al. 2005",20215,235932,"species",55,6084,7,23042,NA,NA,NA,"aerobe",23042,"chemoorganotroph",23042,"",NA,NA,NA,54.5,6084,NA
1437,"DSM 7263, ATCC 8005, NCIMB 8547, NRRL NRS-81, CCUG 28890, CIP 106929, LMG 9819, NCCB 30003, JCM 20319, BCRC 11223, IAM 11001, NBRC 102445","Geobacillus kaustophilus","BD 53, T 281, NRS-81","Geobacillus kaustophilus","Geobacillus kaustophilus (Priest et al. 1989 ex Prickett 1928) Nazina et al. 2001",20215,1462,"species",55,3082,7.25,23044,NA,NA,NA,"aerobe",49445,"chemoorganotroph",23044,"GCA_005160065",1220595.8,2843255297,66792,NA,NA,-0.177462
1450,"DSM 15325","Geobacillus lituanicus","N-3","Geobacillus lituanicus","Geobacillus lituanicus Kuisiene et al. 2004",20215,169283,"species",55,5846,6.5,23036,NA,NA,NA,"aerobe",23036,"chemoorganotroph",23036,"GCA_002243605",169283.5,2758568037,66792,52.5,5846,-0.176777
166233,"VKM B-3132, KCTC 33986","Geobacillus proteiniphilus","1017","Geobacillus proteiniphilus","Geobacillus proteiniphilus Semenova et al. 2019",20215,860353,"species",54,67979,6.9,67979,NA,NA,NA,"aerobe",67979,"chemoorganotroph",67979,"GCA_001908025",NA,2858576625,67979,51.8,67979,-0.177383
1419,"DSM 22, ATCC 12980, CCM 2062, CCUG 26241, IAM 11062, LMG 6939, NBRC 12550, NCIMB 8923, NCTC 10339, VKM B-2231, IFO 12550, NCA 26, JCM 2501, BCRC 11092, CIP 66.23, KCTC 1665, KCTC 1752, NCFB 1768, NRRL B-1172, VKM B-510, VTT E-81128, UCCCB118, NCDO 1768","Geobacillus stearothermophilus","R-35646, 26","Geobacillus stearothermophilus","Geobacillus stearothermophilus (Donk 1920) Nazina et al. 2001",20215,1422,"species",60,22918,9,22918,NA,NA,NA,"facultative anaerobe",123299,"chemoorganotroph",23042,"GCA_001277805",1366047.4,2654587565,67770,52.8,2023,-0.176241
1773,"DSM 17458, CCTCC AB 204065, KCTC 19029, NBRC 103883, YIM 004, JCM 15130","Georgenia ruanii","","Georgenia ruanii","Georgenia ruanii Li et al. 2007",20215,348442,"species",28,19749,6.5,23157,NA,NA,NA,"aerobe",67771,"chemoorganotroph",23157,"GCA_039530665",NA,NA,124043,72.9,6997,-0.127023
133133,"CCOS 955, CIP 111027, NBRC 111234, NCCP 16210, JCM 31934, NCTC 13704","Gordonia hongkongensis","HKU50","Gordonia hongkongensis","Gordonia hongkongensis Tsang et al. 2016",20215,1701090,"species",37,24904,7.5,24904,NA,NA,NA,"aerobe",24904,"chemoorganoheterotroph",24904,"GCA_023078355",1701090.6,NA,66792,67,24904,-0.116563
2537,"DSM 604, ATCC 7906, IMG 1642, KCTC 5404","Gottschalkia acidurici","9a","Gottschalkia acidurici","Gottschalkia acidurici (Liebert 1909) Poehlein et al. 2017",20215,1556,"species",37,316,7.85,43456,NA,NA,NA,"anaerobe",316,"chemoorganotroph",43456,"GCA_000299355",1128398.3,2517487003,66792,27.8,316,-0.211039
2650,"DSM 1384, ATCC 33906, WA 1","Gottschalkia purinilytica","","Clostridium purinilyticum","Clostridium purinilyticum corrig. Dürre et al. 1981",20215,1503,"species",35,759,7.55,43456,NA,NA,NA,"anaerobe",759,"chemoorganotroph",43456,"GCA_001190785",1503.6,2645727973,66792,29,759,-0.214723
1459,"DSM 11125, NCFB 3027, CIP 105095","Gracilibacillus dipsosauri","DD1","Gracilibacillus dipsosauri","Gracilibacillus dipsosauri (Lawson et al. 1996) Wainø et al. 1999",20215,178340,"species",30,4217,6,118943,NA,NA,NA,"obligate aerobe",118943,"chemoorganotroph",23041,"GCA_003176895",178340.4,NA,66792,39.4,4217,-0.188813
1460,"DSM 11805, JCM 10718, ATCC 700849","Gracilibacillus halotolerans","NN","Gracilibacillus halotolerans","Gracilibacillus halotolerans Wainø et al. 1999",20215,74386,"species",30,4494,7.5,23041,NA,NA,NA,"obligate aerobe",23041,"chemoorganotroph",23041,"GCA_014206945",74386.3,2829726240,66792,38,23041,-0.182663
24046,"DSM 17595, CGMCC 1.15422","Gramella forsetii","KT0803","Christiangramia forsetii","Christiangramia forsetii (Panschin et al. 2017) Deshmukh and Oren 2023",20215,411153,"species",25,21083,7.5,25239,NA,NA,NA,"obligate aerobe",25239,"chemoorganotroph",25239,"GCA_000060345",411154.11,639633025,66792,36.6,25239,-0.173261
138,"DSM 22516, LMG 25274, VKM B-2571","Granulicella aggregans","TPB6028","Granulicella aggregans","Granulicella aggregans Pankratov and Dedysh 2010",20215,474949,"species",20,16375,5.25,22971,NA,NA,NA,"obligate aerobe",22971,"chemoorganotroph",22971,"GCA_025685565",474949.4,8047302957,66792,59.3,16375,-0.142501
139,"DSM 22464, LMG 25275","Granulicella paludicola","OB1010","Granulicella paludicola","Granulicella paludicola Pankratov and Dedysh 2010",20215,474951,"species",20,16353,5.25,22971,NA,NA,NA,"obligate aerobe",22971,"chemoorganotroph",22971,"GCA_025685545",474951.3,8047863164,66792,57.4,16353,-0.14061
137,"DSM 21001, VKM B-2509","Granulicella pectinivorans","TPB6011","Granulicella pectinivorans","Granulicella pectinivorans Pankratov and Dedysh 2010",20215,474950,"species",20,9077,5.25,22971,NA,NA,NA,"obligate aerobe",22971,"chemoorganotroph",22971,"GCA_900114625",474950.3,2687453730,66792,59.1,9077,-0.147414
136,"DSM 18704, ATCC BAA-1396, TPO 1014","Granulicella rosea","T4, TPO-1014","Granulicella rosea","Granulicella rosea Pankratov and Dedysh 2010",20215,474952,"species",20,7665,5.25,22971,NA,NA,NA,"obligate aerobe",22971,"chemoorganotroph",22971,"GCA_900188085",474952.3,2681813547,66792,58.3,7665,-0.14103
158483,"DSM 104461, VKM B-3276","Granulicella sibirica","AF10","Granulicella sibirica","Granulicella sibirica Oshkin et al. 2019",20215,2479048,"species",25,65159,5.25,67845,NA,NA,NA,"aerobe",67845,"chemoorganotroph",67845,"GCA_004115155",2479048.3,2880944282,67845,59.8,67845,-0.141194
141135,"NBRC 110517, InaCC Ar2","Haloarchaeobius baliensis","2b_61_3","Haloarchaeobius baliensis","Haloarchaeobius baliensis Mori et al. 2016",20215,1670458,"species",34,44051,7.25,44051,NA,NA,NA,"aerobe",44051,"chemoheterotroph",44051,"",NA,NA,NA,67.2,44051,NA
130201,"DSM 25866, CGMCC 1.12153","Halobacillus andaensis","NEAU-ST10-40","Halobacillus andaensis","Halobacillus andaensis Wang et al. 2015",20215,1176239,"species",32,22994,8,22994,NA,NA,NA,"obligate aerobe",22994,"chemoorganotroph",22994,"GCA_017874135",1176239.4,2913453739,66792,39.3,21602,-0.170271
1343,"DSM 10405, CIP 104798","Halobacillus litoralis","SL-4","Halobacillus litoralis","Halobacillus litoralis Spring et al. 1996",20215,45668,"species",30,3932,7.75,22983,NA,NA,NA,"obligate aerobe",22983,"chemoorganotroph",22983,"GCA_009856445",45668.7,8002335811,66792,42,22983,-0.173466
1342,"DSM 10404, CIP 104797","Halobacillus trueperi","SL-5","Halobacillus trueperi","Halobacillus trueperi Spring et al. 1996",20215,156205,"species",30,3931,7.75,22983,NA,NA,NA,"obligate aerobe",22983,"chemoorganotroph",22983,"GCA_003386945",156205.9,2837540175,66792,43,22983,-0.171369
133412,"KCTC 42259, MCCC 1H00120, CICC 23817","Halofilum ochraceum","XJ16","Halofilum ochraceum","Halofilum ochraceum Xia et al. 2017",20215,1611323,"species",32.5,25265,8,25265,NA,NA,NA,"facultative anaerobe",25265,"chemoheterotroph",25265,"GCA_001614315",1611323.5,2744054781,66792,65.9,25265,-0.113343
132386,"DSM 103556, CCTCC AB 2013104, JCM 19210, KCTC 15321","Haloimpatiens lingqiaonensis","ZC-CMC3","Haloimpatiens lingqiaonensis","Haloimpatiens lingqiaonensis Wu et al. 2016",20215,1380675,"species",36.5,43790,6.75,43790,NA,NA,NA,"anaerobe",43790,"chemoorganotroph",43790,"GCA_044502415",NA,NA,124043,30,24175,-0.210489
158800,"KCTC 52999, MCCC 1K03343","Halomonas endophytica","MC28","Halomonas endophytica","Halomonas endophytica Chen et al. 2018",20215,2033802,"species",27.5,65561,7.5,65561,NA,NA,NA,"aerobe",65561,"chemoorganotroph",65561,"GCA_002879615",2033802.3,2859108715,66792,64.1,65561,-0.134903
166135,"MTCC 12313, LMG 30344, SBS 10","Halomonas sambharensis","","Halomonas sambharensis","Halomonas sambharensis Kushwaha et al. 2020",20215,2697581,"species",37.5,68069,9,68069,NA,NA,NA,"aerobe",68069,"chemoorganotroph",68069,"GCA_003973725",376427.7,NA,68069,63.6,68069,NA
